content,author,label
"Jeżeli chodzi o bezrobocie, to jest jakby świetna okazja, żeby środowisko Platformy Obywatelskiej milczało w tej sprawie, bo oddali nam bezrobocie na poziomie ponad 10 proc., a dzisiaj próbują nas pouczać jak walczyć z bezrobociem na poziomie 3 proc.",Waldemar Buda,Manipulacja
"Będą dziedziczone (pieniądze z Indywidualnych Kont Emerytalnych), czego wcześniej nie było.",Andrzej Dera,Fałsz
W Polsce w zeszłym roku samobójstwo ze skutkiem śmiertelnym popełniło 106 dzieci do 18 roku życia.,Katarzyna Lubnauer,Prawda
"To, że w Polsce najważniejszym prawem, ponad prawem międzynarodowym, jest polska Konstytucja, stwierdził już dawno Trybunał Konstytucyjny. W 2005 roku, kiedy oceniał traktat akcesyjny, pod przewodnictwem sędziego Marka Safjana. Jasno wtedy stwierdzono – to polska Konstytucja jest najwyższym prawem.",Radosław Fogiel,Prawda
"A widzimy z różnych sondaży, że nie ma w tej chwili w Polsce ani większości w stronę zaostrzenia, ani większości w stronę pełnego poluzowania czy liberalizacji prawa aborcyjnego.",Michał Kobosko,Prawda
"Tylko w okresie 2016-2019 wpływy z poszczególnych podatków wzrastały następująco: wpływy z VAT o 47%, z PIT o 46,7%, z CIT o 54,7%.",Mateusz Morawiecki,Fałsz
"(…) możemy powiedzieć, że do tego momentu instytucja kompensaty (przysługującej ofiarom niektórych czynów zabronionych – przyp. Demagog) w latach 2014-2018 była wykorzystana w taki sposób, że łączna kwota przyznanych kompensat nie przewyższyła przez te 4 lata 365 tysięcy zł w skali całej Polski. Szanowni Państwo, nie ma tu mowy o pomyłce – to 365 tysięcy zł w latach 2014-2018.",Krzysztof Kwiatkowski,Manipulacja
"Sam prezydent Trzaskowski, jako prezydent Warszawy, procentowo wydaje mniej na służbę zdrowia niż nawet jego poprzedniczka – Hanna Gronkiewicz-Waltz.",Patryk Jaki,Prawda
"Elektorat Prawa i Sprawiedliwości przynajmniej opowiada się za kompromisem (aborcyjnym – przyp. Demagog), tym, który został zniszczony, ale jest też coraz więcej zwolenników liberalizacji tego prawa.",Marzena Okła-Drewnowicz,Fałsz
"Nie ma w Europie państwa, które zbudowałoby elektrownię jądrową w dwanaście lat.",Janusz Kowalski,Fałsz
"Parę dni temu, dosłownie, wyszły badania rządowe, Głównego Urzędu Statystycznego, z których wynika, że 2 mln dorosłych ludzi w Polsce musi mieszkać z rodzicami.",Adrian Zandberg,Prawda
"Ile cystern z paliwem na lewo wjeżdżało w czasach Platformy Obywatelskiej? Wjeżdżało 500 do 600 cystern. Łącznie 750. W czasach naszych rządów 150-200 cystern. (…) To dzienna strata w wysokości, z samego tylko tego tytułu, około 20 mln zł.",Mateusz Morawiecki,Nieweryfikowalne
"Zobaczmy, ile był warty Orlen 3-4 lata temu, kiedy obejmowaliście rządy? Wtedy akcje były po 130 zł. A dzisiaj są około 60 zł.",Robert Kropiwnicki,Manipulacja
25 tys. ofiar wypadków drogowych rocznie,Przemysław Koperski,Fałsz
"Kiedy prezes Jasiński odchodził z Orlenu, było zadłużenie na poziomie 6 mld. Teraz już jest 13 mld.",Piotr Zgorzelski,Manipulacja
"Kiedy (Daniel Obajtek został prezesem Orlenu – przyp. Demagog) (…) ten zysk był 6 mld ponad, później co roku spadał i w roku 2020 zysk netto Orlenu to jest 3 mld 400 mln.",Piotr Zgorzelski,Prawda
"To my wprowadziliśmy regulacje, dzięki którym przestępca może spędzić 25 lat w więzieniu za wyłudzenia vatowskie. Platforma „walczyła” kodeksem karnym skarbowym, a sprawcy byli karani zazwyczaj grzywną.",Michał Wójcik,Prawda
"Proszę zobaczyć, co się teraz stało w poniedziałek. W poniedziałek przed północą opublikowali wykaz obostrzeń, który ma obowiązywać, kwarantanny, przekraczanie granicy, który ma obowiązywać od północy.",Szymon Hołownia,Prawda
"Badania Gallupa z USA pokazują, że coraz więcej osób identyfikuje się jako LGBTQ. Obecnie jest to już 5,6% i ta liczba powiększa się stale odkąd rozpoczęto badania w 2012. Najwiecej osób LGBTQ – 15% – jest w grupie 18-23. Wśród pokolenia baby boomers tylko 2%. ZGROZA😄🏳️‍🌈",Maciej Gdula,Prawda
"Na 0,5 mln dzików, które zostały wybite w ubiegłym roku, tylko 0,4% było chorych na ASF.",Katarzyna Kretkowska,Nieweryfikowalne
Zdecydowana większość Polaków (…) nie ufa dostawcom (szczepionek – przyp. Demagog) z tamtych kierunków (Chiny i Rosja – przyp. Demagog).,Jarosław Sellin,Prawda
".@donaldtusk nawiązując do Pana wystąpienia w #FpF pragnę przypomnieć, że Orlen w ciągu ostatnich 5 lat wypracował 26,2 mld zł zysku. W czasie 8 lat rządów PO-PSL było to łącznie 2,9 mld zł. Natomiast na inwestycje wydajemy 3x więcej niż za Pana rządów.",Daniel Obajtek,Manipulacja
Mamy najdroższą energię w Unii Europejskiej.,Elżbieta Łukacijewska,Manipulacja
"Wiemy, że artykuł 196 o obrazie uczuć religijnych obowiązuje w Polsce i w krajach islamu, to jest ewenement.",Robert Biedroń,Fałsz
"We Wielkiej Brytanii, w Stanach farmaceuci są włączeni w proces szczepienia, apteki są włączone w proces szczepienia.",Władysław Kosiniak-Kamysz,Prawda
"Chodzi o to, żeby pod wpływem emocji takiej decyzji (o odmówieniu przyjęcia mandatu – przyp. Demagog) nie podejmować, tylko podjąć to w ciągu siedmiu dni. A teraz, jak przyjmiemy mandat, to takiej możliwości już nie ma.",Waldemar Buda,Fałsz
"Badania, które posłużyły do powstania tej szczepionki (przeciw COVID-19 – przyp. Demagog), to były badania prowadzone od kilkunastu, blisko 20 lat. Najpierw po (…) wirusie SARS, później przy okazji wirusa MERS.",Daniel Milewski,Prawda
"(wypowiedź w kontekście zmian podatkowych w Polsce założonych w budżecie na 2021 – przyp. Demagog) Belgia obniża VAT na katering, żywność i napoje bezalkoholowe do 6 proc. (…) polski rząd wprowadza podatek cukrowy, żeby żywność była droższa (…). Austria obniża VAT z 10 proc. do 5 proc. dla sektora gastronomicznego, kulturalnego i wydawniczego. Jaka jest odpowiedź polskiego rządu? Podwyższenie abonamentu radiowo-telewizyjnego (…). Irlandia obniża VAT na wszystko z 23 proc. do 21 proc. Polski rząd utrzymuje podwyższony VAT (…). Bułgaria obniża VAT w restauracjach i przemyśle rozrywkowym. (…) Polski rząd wprowadza podatek handlowy. Niemcy obniżają główną stawkę VAT z 19 proc. do 16 proc. Polski rząd co robi? Podwyższa składki na ZUS. (…) Czechy obniżają podatek PIT z 20 proc. do 15 proc. (…) Polski rząd wprowadza podatki za deszcz. Tak, będzie nowy podatek od deszczu.",Cezary Tomczyk,Manipulacja
Większość Polaków jest przeciwko eutanazji.,Dominik Tarczyński,Nieweryfikowalne
"Mamy eutanazję w Holandii i już 9 proc. osób, które poddały się eutanazji, były to osoby w pełni zdrowe, które miały tylko depresję.",Jarosław Sachajko,Fałsz
"Trzy czwarte republikanów, czy wyborców republikanów, nie wierzy, że te wybory były uczciwe.",Marcin Bosacki,Prawda
Dzisiaj mamy największe restrykcje wobec hoteli w całej Europie.,Władysław Kosiniak-Kamysz,Prawda
"Po aborcji mamy o 44 proc. większe ryzyko nowotworu piersi, a po dwóch aborcjach to jest już 76 proc. większa zachorowalność na nowotwory piersi. Jeżeli zobaczymy sobie dane z Wielkiej Brytanii, że przed wprowadzeniem prawa do aborcji około 18 tys. Brytyjek zachorowało na raka piersi, a w tej chwili, gdy jest aborcja dozwolona, to jest to już około 200 czy ponad 200 tys. zachorowań, to jest 11 razy więcej.",Jarosław Sachajko,Fałsz
"Ja dzisiaj czytałem dane Eurostatu. (…) Polska w listopadzie odniosła 97 proc., uwaga 97 proc., wzrost liczby zgonów do adekwatnego miesiąca rok temu. (…) Jakie państwa są jeszcze w grupie tych państwa, u których ten wskaźnik sięga powyżej 90 proc.? Dwa – to jest Słowenia i Bułgaria. (…) jaki wskaźnik wzrostu zgonów ma np. Dania – 5,5 proc. A jaki był maksymalny wzrost zgonów w tragicznie doświadczonej Hiszpanii, rekord mieli w kwietniu, tam im wzrosło o 79 proc.",Bartosz Arłukowicz,Prawda
"Dzieci w wieku od 6 do 9 lat, do 10 (…) w klasach I-III, to są dzieci, które są najmniej narażone, nie tylko na zarażenie się koronawirusem, ale również na to, że w ogóle będą transmitowały tego koronawirusa.",Przemysław Czarnek,Prawda
"Jeżeli ktokolwiek chciałby zliberalizować prawo aborcyjne, to tylko poprzez zmianę konstytucji, a ta jest możliwa tylko przez referendum.",Marcin Ociepa,Manipulacja
"Pan minister Niedzielski jasno mówił, że manifestacje nie zwiększyły zachorowań.",Monika Rosa,Prawda
"W tej chwili zgodnie z ostatnimi danymi z GUS-u, które też wcale nie są świeże, bo pochodzą z połowy 2019 roku, minimum socjalne na jednoosobowe gospodarstwo emeryckie wynosi 1400 zł. W tej chwili emerytura minimalna, przypomnę, wynosi 1200, w związku z czym jest ona nadal poniżej absolutnego minimum.",Magdalena Biejat,Manipulacja
"Pod względem przeliczenia na PKB Polska jest na pierwszym miejscu w Unii Europejskiej, jeżeli chodzi o skalę pomocy dla przedsiębiorców.",Jarosław Gowin,Fałsz
"Ona (inflacja w Polsce – przyp. Demagog) jest najwyższa w Europie. I są państwa, w których mamy deflację, tzn. ceny nie tylko nie rosną, ale wręcz spadają.",Izabela Leszczyna,Manipulacja
"Ten przepis, o którym opowiedział pan Horała, czyli że możemy poczekać, aż ten płód obumrze i wtedy usunąć resztki, to jest dokładnie przepis na to, jak zmarła Irlandka, (…) co doprowadziło zresztą do zmiany prawa aborcyjnego w Irlandii, dokładnie tak, że była orzeczona wada płodu, nie zgodzono się na terminację ciąży, płód obumarł, ona zapadła w śpiączkę, potem zmarła. To wywołało szeroką dyskusję w Irlandii i doprowadziło do zmiany prawa.",Katarzyna Lubnauer,Prawda
"Była wypowiedź prezydenta Trumpa, gdzie on wyraźnie powtarza, już po wszystkich wydarzeniach, że wybory zostały sfałszowane. (…) Sądy amerykańskie, rozpatrując protesty wyborcze co do sfałszowania wyborów, stwierdziły co do jednego wyroku, że żadnych fałszerstw nie było.",Jarosław Urbaniak,Prawda
"Ta krzywa otyłości wśród dzieci, zwłaszcza I-III (klasy szkoły podstawowej – przyp. Demagog), niestety zwłaszcza wśród dziewcząt, zdaniem specjalistów z Akademii Wychowania Fizycznego (…), ta krzywa bardzo szybko rośnie. (…) W latach (…) 2014-2018 ta otyłość, przyrost masy wśród dzieci i młodzieży to jest ponad 2 proc.",Przemysław Czarnek,Manipulacja
"Połowa dzieci, które rodzą się z zespołem Edwardsa, przeżywa siedem dni. 70 proc. żywo urodzonych dzieci z zespołem Patau umiera w ciągu pierwszych sześciu miesięcy.",Agnieszka Dziemianowicz-Bąk,Prawda
"W ostatnich wyborach zdobyłem ponad 200 tys. głosów na Mazowszu, najlepszy wynik w historii wyborów europejskich w tym okręgu wyborczym.",Adam Bielan,Prawda
"Przypomnijmy, że nawet pan Wyrembak w swoim zdaniu odrębnym sugeruje, że w ogóle uzasadnienie powstawało poza Trybunałem Konstytucyjnym, a on je zobaczył dopiero, jak miał je podpisać i dlatego złożył swoje zdanie odrębne.",Katarzyna Lubnauer,Nieweryfikowalne
"Pani poseł (Agnieszka Dziemianowicz-Bąk – przyp. Demagog) powiedziała (…), że z posłankami Lewicy wnioskuje o dekryminalizację przestępstw w Kodeksie karnym, dotyczących aborcji. Tylko przypomnę, że te przestępstwa w kodeksie karnym nie zostały wprowadzone przez rząd Zjednoczonej Prawicy, tylko zostały wprowadzone już kodeksem karnym, kiedy rządziło SLD.",Sebastian Kaleta,Manipulacja
"Jeśli chodzi o nieprawidłowości (…) my (Polska – przyp. Demagog) mamy 0,12 proc. spraw badanych przez OLAF, jeśli chodzi o nieprawidłowości. Średnia unijna to jest 0,36 proc., więc jesteśmy dużo poniżej średniej.",Waldemar Buda,Manipulacja
3 mln dziennie kupuje się małpek.,Henryk Kowalczyk,Nieweryfikowalne
"W tej chwili żadne z dużych miast nie dostało pieniędzy (z Funduszu Inwestycji Lokalnych – przyp. Demagog), ponieważ we wszystkich dużych miastach rządzi opozycja i wy nie daliście żadnemu z dużych miast, dajecie swoim.",Katarzyna Lubnauer,Fałsz
"Nawet producenci szczepionek mówią, że nie ma dowodów na to, czy wstrzymuje ona transmisję wirusa.",Krzysztof Bosak,Prawda
Problem alkoholowy w Polsce jest jednym z największych problemów społecznych – mamy 2 proc. alkoholików i 12 proc. nadużywających alkoholu.,Katarzyna Kretkowska,Prawda
"Nie ma żadnych gwarancji, ta szczepionka (na COVID-19 – przyp. Demagog) nie jest do końca przebadana i nie ma żadnych gwarancji, czy ona nie spowoduje skutków ubocznych.",Paweł Kukiz,Fałsz
Większa liczba mieszkań oddana w III kwartale tego roku w porównaniu do III kwartału ubiegłego roku.,Jadwiga Emilewicz,Prawda
"Ceny usług finansowych świadczonych przez banki i inne instytucje wzrosły w listopadzie o 43,9 proc. rok do roku – podał GUS. PMM i KNF skomentują ?",Janusz Piechociński,Prawda
"Wielka Brytania jest dla nas drugim, ex aequo z Republiką Czeską, drugim partnerem handlowym.",Mateusz Morawiecki,Fałsz
"Rozporządzenie ministra zdrowia zakłada, że LEK, czyli Lekarski Egzamin Końcowy, zdaje w tej chwili osoba, która miała 56% poprawnych odpowiedzi.",Ryszard Majer,Prawda
"W I połowie 2020 średnie ceny energii elektrycznej dla gospodarstw domowych w UE -27 nieznacznie spadły w porównaniu z pierwszą połową 2019 roku (21,6 euro za 100 kWh) i wyniosły 21,3 euro za 100 kWh. W Polsce w omawianym okresie ceny dla gospodarstw domowych wzrosły o 12,9 proc.",Janusz Piechociński,Prawda
"W całej Unii Europejskiej większość państw, a tylko Malta się na to nie zgadza, (…) jest dopuszczana aborcja ze względu na wady płodu.",Krzysztof Gawkowski,Prawda
"Trzy państwa w zasadzie odpowiadają za połowę globalnych emisji dwutlenku węgla: Chiny, Indie, USA. Polska odpowiada zaledwie za 1%.",Michał Urbaniak,Prawda
"Badanie kliniczne nad szczepionką (na COVID-19 – przyp. Demagog) nie pominęło żadnej fazy. 75 tys. ochotników, ogromna pula badawcza. Nie ma żadnych dowodów na to, że wpływa na płodność. (…) Ta szczepionka nie wnika do jądra komórkowego, nie zmienia naszego materiału genetycznego, nie wpływa na żadne rzeczy związane z płcią.",Władysław Kosiniak-Kamysz,Prawda
"Kontrowersja przepisu polega na tym, że pozwalał on np. na aborcję na podstawie PODEJRZENIA o zespół downa, co skutkowało tym, że abortowane były nie dość, że dzieci z zespołem downa, to i 20 proc. aborcji dotyczyło dzieci zupełnie zdrowych.",Konrad Berkowicz,Fałsz
Państwo w 2015 r. finansowaliście badania prenatalne w wysokości 52 621 tys. My w 2019 r. – 78 514 220 zł. Skorzystało ponad 126 tys. matek.,Józefa Szczurek-Żelazko,Manipulacja
"Twierdzić można, że jest podejrzenie o zespół Downa dopiero około 20. tygodnia ciąży, wtedy kiedy dziecko jest już bliskie do tego, aby samodzielnie żyć.",Patryk Jaki,Manipulacja
"Natomiast jeśli mówimy o ograniczeniu produkcji węgla w Polsce, to nie jest to zjawisko, które jest czymś nowym, czymś, co dopiero planujemy, bo gdybyśmy spojrzeli na ten okres od roku 1990, kiedy mieliśmy 70 kopalń i blisko 350 tysięcy pracowników w górnictwie, no to dzisiaj tych kopalń jest 20, a pracuje, tak jak mówiłem, około 80 tysięcy pracowników.",Artur Soboń,Prawda
"Pani Kopacz mówiła, kiedy były inne epidemie, mówiła „cieszcie się wiosną, nie przejmujcie się niczym”.",Adam Andruszkiewicz,Prawda
"Zgodnie z zaleceniem Światowej Organizacji Zdrowia kobiety nie powinny wypijać więcej niż 20 gramów alkoholu dziennie, czyli kieliszek wina, a mężczyźni nie więcej niż 30 gramów, czyli litr piwa.",Janusz Piechociński,Fałsz
Żadne szczepionki u osób dorosłych w Polsce nie są w tej chwili obowiązkowe i nigdy nie były. Obowiązkowe były szczepionki dla dzieci.,Marcin Kulasek,Manipulacja
"W roku 2015 sięgało już 57 proc. (zadłużenie w stosunku do PKB – przyp. Demagog), blisko 60 (…). Na koniec roku 2019 ono sięgało 42 proc.",Henryk Kowalczyk,Manipulacja
"Dzisiaj liczba zakażeń w Polsce jest większa niż w Niemczech, które mają dwa razy więcej ludności niż Polska.",Cezary Tomczyk,Prawda
"Pan minister Kraska 6 tygodni temu: „Druga fala koronawirusa będzie łagodniejsza, możemy przekroczyć liczbę tysiąca zakażeń dziennie”.",Cezary Tomczyk,Prawda
"8 na 10 mężczyzn w momencie, kiedy dowiaduje się, że ich kobieta rodzi niepełnosprawne dziecko, to zostawiają kobietę samą.",Joanna Scheuring-Wielgus,Nieweryfikowalne
W Polsce rocznie odnotowuje się 6 tys. samobójstw.,Michał Gramatyka,Fałsz
Średnia płaca prokuratorów w IPN to 17 tysięcy zł.,Bogdan Borusewicz,Fałsz
"Mamy dzisiaj w Polsce, Wysoka Izbo, bardzo wysoki stan zagrożenia z powodu epidemii. (…) Otóż ten stan wyklucza jakiekolwiek spotkania, publiczne, powyżej 5 osób.",Jarosław Kaczyński,Manipulacja
Drugie największe lotnisko w Wielkiej Brytanii przekształcone w kostnicę.,Paweł Szefernaker,Fałsz
Właśnie mija 6 lat od wyroku Trybunału Konstytucyjnego na temat świadczeń dla (…) opiekunów dorosłych osób z niepełnosprawnościami. Wciąż nie wykonaliście tego wyroku. (…) Opiekunowie dorosłych osób z niepełnosprawnościami wciąż otrzymują zaledwie 620 zł netto miesięcznie.,Agnieszka Dziemianowicz-Bąk,Prawda
"Jak rozumiem, chodzi pani o wyrok Trybunału Konstytucyjnego, który wzbudza ostatnio tyle emocji i dyskusji. To zależy od Rządowego Centrum Legislacji, które publikuje wyroki. (…) Ja powtórzę, to nie premier publikuje ten wyrok.",Michał Dworczyk,Manipulacja
"Jak wszyscy pamiętamy, prof. Lech Kaczyński był zwolennikiem kompromisu aborcyjnego.",Andrzej Duda,Prawda
"Raport NIK wyraźnie mówi, że dostępność na wsi kobiet do gabinetów ginekologicznych jest na poziomie niewielkim. Niewielki, tzn.: 2%, tak naprawdę, kobiet przeprowadza pełne badania w okresie ciąży, 78% kobiet nie robi podstawowych badań w okresie ciąży, które zaleca lekarz, 20% kobiet nie ma nawet dokumentacji przebiegu ciąży.",Iwona Kozłowska,Prawda
"W roku ‘97 zupełnie inny Trybunał (Konstytucyjny – przyp. Demagog) orzekł, że aborcja na życzenie, z tzw. przyczyn społecznych, jest również niezgodna z konstytucją i z zasadą ochrony życia.",Marcin Horała,Prawda
"Jesteśmy w sytuacji, w której (…) piątym byliśmy wczoraj (5 listopada – przyp. Demagog) krajem na świecie, jeżeli chodzi o liczbę zakażeń. Przed nami były Włochy z 34 tys., tylko że oni zrobili 220 tys. testów.",Szymon Hołownia,Prawda
"Wśród liderek Strajku Kobiet jest pani, która mówi, że katolicy nie powinni pełnić funkcji publicznych w państwie polskim.",Artur Soboń,Fałsz
"Pan Morawiecki powoływał się na Instytut Modelowania Uniwersytetu Warszawskiego i twierdził, że oni wskazują na to, że jest związek (pomiędzy protestami a wzrostem zakażeń – przyp. Demagog), a oni się odcięli od tej informacji, powiedzieli, że absolutnie z ich badań to nie wynika.",Katarzyna Lubnauer,Prawda
"Ostatnie badania pokazują, że 55% obywateli jest za zniesieniem zakazu handlu w niedziele, 32% ma przeciwne zdanie, a 12% nie ma żadnego zdania.",Adam Szejnfeld,Prawda
"Przy dużo niższym poziomie PKB, w 2009 i ‘10 r. deficyt budżetowy oscylował wokół 100 mld.",Mateusz Morawiecki,Fałsz
"We mnie się krew burzy, jak słyszę głosy różnych polityków, np. (…) posła Ociepy, który mówi, że Fundusz Solidarnościowy… nic nie zostało z niego zabrane. Przecież sam głosował za tym, żeby Fundusz Solidarnościowy poszedł na trzynastki i czternastki.",Iwona Hartwich,Prawda
7 stycznia 1993 r. (…) 27 lat temu. Jarosław Kaczyński podniósł rękę za kompromisem aborcyjnym.,Michał Szczerba,Prawda
To już pytanie nie do mnie. Za to (publikację wyroku – przyp. Demagog) odpowiada sam Trybunał (Konstytucyjny – przyp. Demagog).,Radosław Fogiel,Fałsz
"Amerykański koncern ogłosił, że ma szczepionkę, która na tych początkowych testach dała skuteczność 90%. To warto wspomnieć, że bardzo popularne szczepionki na grypę dają 40%-45% skuteczności, a tutaj mamy 90%.",Tomasz Rzymkowski,Manipulacja
"Tu (w procesie przyznawania pomocy finansowej z Funduszy Wsparcia Kultury – przyp. Demagog) przede wszystkim nie było warunku, że firma musi, w większości przynajmniej swojej aktywności, zajmować się działalnością artystyczną.",Bogdan Zdrojewski,Prawda
Użycie broni gładkolufowej celowanej wyżej niż powyżej pasa jest nieprzepisowe.,Krzysztof Bosak,Fałsz
"Według Głównego Urzędu Statystycznego w maju 2020 r. z turystycznych obiektów noclegowych skorzystało 387 tysięcy osób, czyli o 88,2% mniej niż przed rokiem. To jest porażająca liczba, muszę powiedzieć. W czerwcu spadek był niewiele mniejszy i wyniósł 62,7%.",Władysław Komarnicki,Prawda
"73% społeczeństwa, a na wsi 72% społeczeństwa, popiera projekt ustawy o ochronie zwierząt.",Grzegorz Puda,Manipulacja
"Mamy 5% nauczycieli, którzy są powyżej 60. roku życia. Średnia wieku nauczycieli to 44 lata.",Anna Zalewska,Prawda
"Wyobraża pani w swojej stacji (…) codzienne komunikaty, dziś na raka, na różne nowotwory zmarło w Polsce 300 osób, zmarło, a zachorowało prawie 600. Wyobraża pani sobie takie komunikaty? To jest rzeczywistość polskiej onkologii.",Tomasz Grodzki,Fałsz
"Odsetek schronisk dla zwierząt, w których, podczas kontroli, wykazywane są nieprawidłowości – 20%.",Beata Maciejewska,Fałsz
"(…) okazuje się, że ponad 30% osób w Polsce deklaruje, że będzie się szczepiło przeciwko koronawirusowi.",Waldemar Kraska,Fałsz
"Ubój dla celów religijnych to jest bardzo ważna część eksportu polskiego rolnictwa. (…) około 7 mld, szczególnie w drobiu – to jest 40%.",Władysław Kosiniak-Kamysz,Nieweryfikowalne
"Przypominam że rząd Jana Krzysztofa Bieleckiego był mniejszościowy w pewnym momencie, rząd Jana Olszewskiego też był mniejszościowy, rząd pana premiera Buzka był mniejszościowy. (…) Też rząd pana premiera Belki był mniejszościowy, rządził kilka miesięcy. No i pierwszy rząd Prawa i Sprawiedliwości, pod koniec, przez 3 miesiące, pana prezesa Jarosława Kaczyńskiego rządził przez 3-4 miesiące nie mając zaplecza większościowego w Sejmie.",Krzysztof Sobolewski,Prawda
W państwa programie wyborczym (Prawa i Sprawiedliwości – przyp. Demagog) w zeszłym roku nie zająknęliście się nawet jednym słowem w kwestiach praw zwierząt.,Aleksandra Gajewska,Fałsz
"Od 20 paru lat jednak wynagrodzenia, kiedy były wprowadzane, były siedmiokrotnością przeciętnego wynagrodzenia. Dzisiaj nawet to nie są dwie przeciętne pensje.",Marek Suski,Manipulacja
"Kiedyś Włochy, od których wszystko to się zaczęło w Europie, pamiętamy te ogromne liczby, dzisiaj tam ta dobowa zachorowalność na koronawirusa to jest 150-200, a w Polsce 700-1000.",Cezary Tomczyk,Fałsz
"W Anglii, gdzie tzw. transseksualizm jest już traktowany jak coś normalnego, jest taka praktyka, że dzieciom przed okresem dojrzewania podaje się hormony blokujące dojrzewanie płciowe.",Krzysztof Bosak,Manipulacja
"Przez Sejm przechodzi (…) około 800 ustaw rocznie. Duża część z nich, no właściwie połowa, staje się obowiązującym prawem.",Hanna Gill-Piątek,Fałsz
"Ja przede wszystkim chciałem zacząć od tego, że raczej w Europie właśnie standardem jest, że ministrem zdrowia nie jest lekarz, bo większość krajów w Unii Europejskiej ma ministra zdrowia, który bądź to jest prawnikiem, bądź ekonomistą, więc raczej to jest taki nasz lokalny zwyczaj.",Adam Niedzielski,Prawda
"W okresie tzw. lockdownu, zamknięcia na czas koronawirusa, spadła liczba wykonywanych mammografii o 200 tysięcy.",Magdalena Biejat,Prawda
Od początku wakacji na (polskich – przyp. Demagog) drogach zginęło aż 397 osób.,Agnieszka Dziemianowicz-Bąk,Fałsz
"Taki szczególnie zły był rok 2011, kiedy od północy do południa zlikwidowano pułk w Suwałkach, zlikwidowano dywizję z siedzibą w Legionowie, zlikwidowano brygadę z siedzibą w Lublinie, zlikwidowano batalion z siedzibą w Siedlcach. To były efekty rządów koalicji PO-PSL.",Mariusz Błaszczak,Prawda
Nie zostałem zaproszony na rozmowę do Telewizji Publicznej przez ostatnie 5 lat. Grzegorz Schetyna nie był zaproszony do Telewizji Publicznej na wywiad jeden na jeden.,Borys Budka,Fałsz
"Jeżeli analizuję sondaże CBOS-u, gdzie konsekwentnie poparcie i zaufanie dla urzędu rzecznika, ostatnie, które jest mi znane, to było 49% – ma zaufanie. Tylko 11% nie ma zaufania.",Adam Bodnar,Manipulacja
"Około 9-10% populacji dzieci ma problemy wymagające pomocy psychologicznej, psychiatrycznej.",Katarzyna Lubnauer,Prawda
